time_sec,node_id,parent_id,rpl_ver,rpl_rank,dis_sent,dio_sent,dao_sent,nbr_dis_rcv,nbr_dio_rcv,nbr_dao_ack_rcv,nbr_fwd_to_me,nbr_fwd_to_others,nbr_fwd_bcast,nbr_rpl_ctrl,nbr_non_rpl_ctrl,nbr_rpl_ver_rcv,nbr_rpl_rank_rcv,nbr_fwd_rpl,nbr_fwd_non_rpl,diff_rpl_rank,diff_rpl_ver,norm_rank_diff,ctrl_to_data_ratio,non_rpl_to_rpl_ratio,rpl_fwd_ratio,non_rpl_fwd_ratio,total_fwd_ratio,label
360.0,15.0,9.0,194.0,3562.0,227.0,1730.0,601.0,59.0,686.0,0.0,408.0,363.0,595.0,172.0,55.0,182.0,1405.0,1691.0,773.0,2157.0,12.0,0.6055587,14.872093,0.31976745,0.10171496,0.07115136,0.17286631,1
104.0,30.0,36.0,240.0,2313.0,193.0,89.0,76.0,73.0,20.0,0.0,16.0,21.0,77.0,15.0,2.0,240.0,1630.0,67.0,8.0,683.0,0.0,0.29528752,23.866667,0.13333334,0.2238806,0.25,0.4738806,0
56.0,8.0,4.0,240.0,565.0,4.0,30.0,2.0,0.0,17.0,0.0,48.0,259.0,12.0,2.0,126.0,240.0,583.0,2.0,126.0,18.0,0.0,0.030874785,18.0,63.0,1.0,1.0,2.0,0
120.0,32.0,14.0,219.0,15844.0,145.0,3298.0,559.0,41.0,291.0,0.0,314.0,236.0,50.0,231.0,1.0,95.0,2986.0,3565.0,34.0,12858.0,124.0,0.8115375,17.324675,0.0043290043,0.064796634,0.029411765,0.0942084,1
355.4286,3.0000002,5.4285717,170.42857,492.00006,83.571434,1023.00006,257.14288,29.142859,444.57144,0.0,1350.0,292.85715,381.85715,117.28572,86.42857,143.57144,522.71436,1652.7144,3138.8572,46.428574,65.71429,0.10080785,11.612744,0.73791033,0.07096275,0.027549492,0.09851225,1
379.47827,29.217392,17.956524,222.47827,1840.522,780.8261,6.8260884,24.82609,70.04349,2.7826087,0.0,2.7826087,6.9130435,70.04349,0.0,0.0,219.69568,0.0,0.0,0.0,0.0,4.000001,0.0,0.0,0.0,0.0,0.0,0.0,0
56.0,14.0,6.0,178.0,9868.0,77.0,523.0,167.0,17.0,39.0,0.0,52.0,74.0,21.0,86.0,1.0,140.0,1832.0,601.0,6.0,8036.0,38.0,0.8143494,8.918605,0.011627907,0.14309484,0.16666667,0.3097615,1
328.0,7.0,14.0,240.0,1681.0,569.0,2762.0,702.0,98.0,252.0,0.0,275.0,197.0,103.0,145.0,3.0,240.0,4306.0,2979.0,30.0,2625.0,0.0,0.6096145,27.813793,0.020689655,0.04867405,0.1,0.14867406,0
88.0,14.0,16.0,240.0,23400.0,42.0,926.0,304.0,16.0,154.0,0.0,180.0,159.0,31.0,76.0,61.0,240.0,7740.0,996.0,264.0,15660.0,0.0,0.66923076,16.736841,0.80263156,0.07630522,0.23106061,0.30736583,0
262.34482,19.758621,26.344835,232.34486,2112.8623,532.6554,34.275875,72.17243,22.68966,5.103449,0.0,3.3793106,8.689658,24.241379,5.7241387,0.724138,229.37933,1290.3103,13.3793125,0.9310345,822.5518,2.9655178,0.38898417,93.07698,0.09421183,0.3725183,0.55172414,0.92424244,0
72.0,7.0,6.0,240.0,408.0,90.0,5.0,1.0,84.0,17.0,0.0,9.0,173.0,92.0,0.0,0.0,240.0,443.0,0.0,0.0,35.0,0.0,0.07900677,0.0,0.0,0.0,0.0,0.0,1
48.0,14.0,11.0,240.0,1886.0,86.0,50.0,71.0,15.0,5.0,0.0,2.0,6.0,19.0,3.0,0.0,167.0,1165.0,20.0,1.0,721.0,73.0,0.38229057,69.0,0.0,0.15,0.0,0.15,1
152.0,9.0,15.0,248.0,1397.0,15.0,415.0,60.0,7.0,242.0,0.0,85.0,157.0,230.0,21.0,83.0,241.0,768.0,217.0,435.0,629.0,7.0,0.45025054,23.333334,3.952381,0.09677419,0.1908046,0.2875788,0
368.31998,3.0000005,1.0,163.00002,352.96008,0.0,394.36,1.9200003,387.00006,2864.7205,0.0,2275.0405,1490.0002,981.60016,1178.0001,269.0,163.00002,335.60007,2358.3604,287.56003,38.880005,0.0,0.10430231,0.33640072,0.2283531,0.49950236,0.93546635,1.4349688,0
168.0,11.0,15.0,240.0,888.0,94.0,299.0,106.0,23.0,149.0,0.0,133.0,305.0,53.0,83.0,29.0,240.0,556.0,304.0,82.0,332.0,0.0,0.37387386,6.0120482,0.3493976,0.27302632,0.35365853,0.62668484,1
320.0,7.0,26.0,171.0,1811.0,566.0,2496.0,431.0,271.0,677.0,0.0,660.0,464.0,291.0,409.0,2.0,140.0,1957.0,8139.0,38.0,146.0,31.0,0.07460398,8.540342,0.004889976,0.050251875,0.05263158,0.10288345,1
256.0,4.0,5.0,252.0,14269.0,213.0,2324.0,522.0,87.0,635.0,0.0,516.0,588.0,250.0,333.0,57.0,165.0,5160.0,2314.0,275.0,9109.0,87.0,0.6383769,9.186186,0.17117117,0.14390665,0.20727272,0.3511794,1
214.91669,3.0000005,0.99999994,240.00003,267.8229,0.0,61.458336,8.020834,0.0,55.25001,0.0,37.812504,0.0,17.437504,0.0,0.0,240.00003,276.98962,0.0,0.0,19.083342,0.0,0.06241679,0.0,0.0,0.0,0.0,0.0,0
153.6,9.0,10.2,199.8,876.8,25.0,3739.0,637.60004,9.400001,620.8,0.0,584.8,492.80002,89.200005,375.4,39.0,199.8,671.60004,4146.6,322.0,205.2,0.0,0.2180945,11.724864,0.10390198,0.09053144,0.12227564,0.21280709,1
306.56006,13.440002,14.440002,142.76001,5719.7207,292.28003,980.8003,345.72006,69.28002,372.48007,0.0,285.20007,492.44006,172.4,257.36,27.760002,149.08002,4935.0405,1080.5603,87.32001,784.68005,22.080004,0.13465601,9.776197,0.098325476,0.2477693,0.29605108,0.54382044,0
282.0,11.5,4.75,174.75,3005.0,180.5,3366.25,724.0,49.5,530.5,0.0,409.5,370.0,283.5,242.0,49.0,174.75,1611.75,3787.25,624.25,1393.25,0.0,0.46114433,18.097155,0.18402196,0.0641333,0.06891124,0.13304454,0
372.0,47.0,27.0,240.0,1352.0,319.5,0.0,0.0,11.0,6.0,0.0,6.0,13.0,13.0,8.0,2.0,240.0,1241.0,51.0,4.0,111.0,0.0,0.08210059,39.9375,0.25,0.15686275,0.5,0.65686274,1
145.33334,34.833336,39.5,22.833334,797.0,207.83334,333.33337,277.6667,41.66667,45.166668,0.0,27.833334,40.166668,66.333336,17.0,2.6666667,80.16667,850.6667,316.6667,50.166668,80.333336,57.333336,0.091449276,50.497826,0.17774147,0.052629422,0.061331447,0.11396086,1
71.67349,14.183677,37.285717,240.00003,1014.18384,146.38777,4.122451,12.44898,6.877551,3.4693882,0.0,3.4693882,3.2040823,6.877551,0.0,0.0,240.00003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
309.33334,8.0,4.0,240.0,808.8334,4.0,915.5,17.5,0.0,582.8334,0.0,325.0,459.5,458.33334,8.833334,198.33334,240.0,320.1667,32.833336,598.5,488.6667,0.0,0.60478526,112.66826,24.623215,0.294344,0.33076218,0.6251061,1
202.2716,26.802473,0.99999994,240.00005,319.66675,47.382736,365.04944,164.88893,17.259264,46.567905,0.0,64.12346,50.24692,23.395067,29.641975,3.3333342,240.00005,2462.8406,444.08652,98.67905,2143.1738,0.0,0.8705434,20.19309,0.11741665,0.066714555,0.039129533,0.105844095,0
249.73914,16.739134,18.608698,152.13046,1579.6522,310.4783,1597.5217,489.34796,73.47827,360.30444,0.0,320.08704,353.3479,130.47829,240.60872,16.217394,160.6522,1584.6958,1827.0437,143.34785,82.52176,14.086957,0.050165687,10.954554,0.07795636,0.13317324,0.16742304,0.30059627,0
238.0,14.25,12.25,159.0,7756.0,411.25,3324.75,743.25,131.75,492.25003,0.0,414.75,368.25,219.75,276.75,12.25,163.25,2366.5,3740.25,87.25,5389.5,63.75,0.6955846,19.517132,0.030612562,0.07255201,0.10154501,0.17409702,1
144.0,7.0,19.0,240.0,1273.3334,160.0,5.0,16.0,72.0,7.666667,0.0,7.666667,13.666667,72.0,1.0,0.0,240.0,1923.3334,13.0,3.0,650.0,0.0,0.3380741,181.0,0.0,0.07692309,0.0,0.07692309,1
383.7647,4.6470604,10.117649,205.8824,614.4413,6.823529,1861.6769,36.441177,4.0882354,1355.3531,0.0,84.4706,980.9706,1274.3237,43.38236,2.3529413,205.8824,589.20593,67.05882,6.4705887,69.058846,0.0,0.10777809,0.92123634,0.007976073,0.095136724,0.05347594,0.1486127,0
80.0,3.0,12.0,147.0,1295.0,41.0,374.0,118.0,9.0,150.0,0.0,95.0,145.0,67.0,65.0,20.0,23.0,2569.0,332.0,47.0,1274.0,124.0,0.49591282,8.2,0.30769232,0.19578314,0.42553192,0.62131506,1
416.0,9.0,32.0,242.0,13917.0,538.0,6009.0,1504.0,147.0,433.0,0.0,383.0,312.0,200.0,258.0,5.0,218.0,2022.0,6895.0,124.0,11895.0,24.0,0.85471004,31.205427,0.019379845,0.037418418,0.04032258,0.077741,0
24.0,10.0,3.0,246.0,9911.0,9.0,733.0,125.0,5.0,90.0,0.0,81.0,81.0,24.0,61.0,27.0,96.0,7021.0,879.0,86.0,2890.0,150.0,0.2915952,14.213115,0.44262296,0.06939704,0.3139535,0.38335052,1
229.33336,28.555563,19.222223,235.77779,1851.2227,398.8334,345.77786,269.16675,87.22224,46.666676,0.0,24.66667,39.777782,114.66668,19.000004,4.5555563,235.6667,1361.4448,353.4445,54.22223,489.77783,0.11111111,0.2649133,54.44133,0.24921854,0.05390484,0.085012615,0.13891745,0
184.0,3.0,1.0,240.0,256.0,57.0,226.0,99.0,22.0,49.0,0.0,97.0,24.0,54.0,6.0,8.0,240.0,845.0,233.0,204.0,589.0,0.0,0.6970414,63.666668,1.3333334,0.025751073,0.039215688,0.06496676,0
219.55557,20.0,41.0,60.0,854.00006,447.11115,14.000001,22.88889,44.444447,4.0,0.0,4.0,9.0,44.777782,1.0,0.0,175.00002,1776.0001,1.0,0.0,922.0,115.0,0.5191442,484.0,0.0,1.0,0.0,1.0,1
297.73923,6.3913045,1.0,177.4783,273.43488,0.0,343.26093,4.9130445,450.00006,557.7828,0.0,289.91306,5.565219,976.7827,0.0,0.95652187,177.4783,265.26093,38.04349,702.78265,15.391307,0.0,0.05188253,0.0,0.0,0.0,0.0014170305,0.0014170305,0
62.486496,5.6486497,8.810813,240.00006,496.94608,2.3513517,22.810818,3.1351361,0.027027028,14.702706,0.0,5.540542,74.94595,9.10811,0.0,0.0,240.00006,406.67575,0.0,0.0,90.27029,0.0,0.1816413,0.0,0.0,0.0,0.0,0.0,0
108.0,12.0,2.0,240.0,435.0,7.0,759.5,18.5,1.0,409.0,0.0,296.5,13.0,398.0,2.0,4.5,240.0,261.0,110.5,823.5,174.0,0.0,0.37391242,392.5,2.25,0.018099919,0.0054337247,0.023533642,1
162.66667,6.0,1.0,194.66669,382.83334,30.666668,2689.75,354.33334,11.5,860.1667,0.0,1177.0,629.3334,92.250015,496.5,30.666668,189.66667,338.33334,3131.6667,1020.5001,105.833336,5.0000005,0.22217458,6.239274,0.061999828,0.15845494,0.03128463,0.18973956,0
368.0,32.333336,28.0,223.0,1065.3334,215.66667,88.0,82.0,180.0,73.333336,0.0,52.0,81.333336,205.66667,33.0,2.6666667,219.0,2183.6667,530.6667,47.666668,1118.3334,4.0,0.51285064,11.546466,0.080303036,0.06234777,0.056199323,0.1185471,1
88.0,38.0,3.0,240.0,19231.0,20.0,516.0,55.0,24.0,429.0,0.0,424.0,309.0,48.0,253.0,21.0,240.0,3368.0,3976.0,151.0,15863.0,0.0,0.8248661,2.3359685,0.08300395,0.06363179,0.13907285,0.20270464,1
33.263165,20.315792,22.63158,240.00005,1530.1052,56.157894,46.3158,51.631584,8.947371,5.3157897,0.0,3.4210527,9.421056,11.368423,4.0526314,1.0526316,240.00005,1739.9478,43.05264,2.7368422,209.84213,0.0,0.12044037,31.31162,0.31244782,0.08122563,0.54020476,0.62143046,0
98.46156,13.538462,1.0,240.00002,295.07697,0.923077,359.6154,3.923077,0.923077,240.23077,0.0,110.76923,0.0,230.53847,0.0,0.0,240.00002,265.3846,8.923078,450.15387,38.15385,0.0,0.12217865,0.0,0.0,0.0,0.0,0.0,1
176.0,33.0,49.0,245.0,1536.0,691.0,10.0,18.0,29.0,9.0,0.0,7.0,26.0,33.0,11.0,1.0,241.0,1694.0,35.0,3.0,158.0,4.0,0.09327037,65.36364,0.09090909,0.31428573,0.33333334,0.64761907,1
246.40001,26.0,10.0,240.0,2484.0,363.0,0.0,0.0,184.40001,247.0,0.0,258.0,200.0,201.40001,173.0,4.0,240.0,1631.0,3067.0,38.0,853.0,0.0,0.34339774,2.0982661,0.023121387,0.05640691,0.105263166,0.16167007,1
93.333336,4.666667,1.0,185.66667,314.33334,7.0,364.33334,25.666668,4.666667,245.33334,0.0,104.66667,11.0,237.33334,3.6666667,2.0,153.66667,287.0,101.0,238.0,27.333334,36.0,0.08775824,13.151515,0.18181819,0.031609196,0.008888889,0.040498085,1
400.0,15.0,13.0,240.0,859.0,3.0,1745.0,20.0,0.0,1189.0,0.0,81.0,408.0,1153.0,7.0,119.0,240.0,856.0,14.0,464.0,3.0,0.0,0.003492433,252.57143,17.0,0.5,0.25646552,0.7564655,1
373.33334,14.0,1.0,240.0,287.0,1.0,2419.3335,13.666667,1.0,1440.0,0.0,275.33334,0.0,1406.3334,0.0,0.0,240.0,302.6667,29.0,1596.3334,31.0,0.0,0.09954473,0.0,0.0,0.0,0.0,0.0,1
124.0,38.5,36.0,226.0,2516.5,216.5,295.0,202.5,43.0,53.5,0.0,41.0,47.5,58.5,23.5,2.5,226.0,405.5,214.5,27.0,2111.0,0.0,0.8384952,39.576923,0.09728507,0.10380766,0.08345865,0.18726629,1
380.80002,10.0,42.8,210.0,959.0,759.8,76.4,137.8,93.0,7.8,0.0,5.8,11.8,95.0,6.0,0.0,102.8,2179.2,69.0,0.0,1220.2001,107.200005,0.5596672,162.33333,0.0,0.08695652,0.0,0.08695652,1
263.66675,13.750003,14.208335,201.625,14442.545,234.54167,2544.542,612.5418,60.583344,515.2085,0.0,479.70834,454.5,188.33334,272.9584,64.41668,206.95834,5061.377,2684.6255,291.70837,9381.168,9.166668,0.65023047,15.966436,0.14760084,0.10411219,0.27261823,0.3767304,0
303.1112,3.0000007,0.99999994,240.00005,270.55566,0.0,80.62225,11.200003,0.0,73.97782,0.0,52.533344,0.0,21.444452,0.0,0.0,240.00005,274.15564,0.0,0.0,13.68889,0.0,0.045402475,0.0,0.0,0.0,0.0,0.0,0
194.66667,32.166668,37.0,214.5,1454.6667,219.33334,2012.1667,594.6667,51.833336,224.0,0.0,204.66667,184.16667,82.50001,138.83334,3.1666667,193.0,1398.6667,2228.0,73.333336,128.33334,21.5,0.08597296,22.169437,0.025844691,0.062163126,0.05611047,0.1182736,1
168.0,43.0,30.0,240.0,15543.0,167.0,4773.0,938.0,42.0,1059.0,0.0,1048.0,734.0,57.0,677.0,5.0,240.0,12555.0,5216.0,46.0,2988.0,0.0,0.19224088,8.682423,0.0073855245,0.12979294,0.10869565,0.2384886,0
116.0,4.0,10.0,164.0,593.0,59.0,2069.5,212.0,20.5,517.0,0.0,598.0,645.0,77.0,563.0,240.5,99.0,512.0,2307.5,720.5,84.0,65.0,0.10931028,4.157011,0.42899132,0.24397588,0.3409686,0.5849445,1
88.0,15.0,4.0,196.0,21689.0,56.0,835.0,124.0,32.0,197.0,0.0,179.0,169.0,52.0,163.0,18.0,182.0,6305.0,889.0,73.0,15384.0,14.0,0.7092996,6.226994,0.11042945,0.18335208,0.24657534,0.4299274,0
388.80002,3.0,1.0,238.0,411.0,13.0,1172.4,130.0,5.0,539.8,0.0,1685.2001,246.0,428.6,150.0,58.0,238.0,260.0,1683.8,3719.6,151.0,0.0,0.3673966,8.769333,0.38666666,0.08909907,0.015595715,0.1046948,1
240.0,7.0,6.0,166.0,10413.0,237.0,1465.0,274.0,102.0,511.0,0.0,387.0,446.0,396.0,146.0,185.0,219.0,4806.0,1037.0,779.0,5607.0,53.0,0.53846157,13.534246,1.2671233,0.14079075,0.23748395,0.3782747,1
248.0,6.0,7.0,202.0,5608.0,56.0,1362.0,151.0,14.0,558.0,0.0,625.0,733.0,404.0,143.0,447.0,161.0,2343.0,864.0,1797.0,3265.0,41.0,0.582204,10.972028,3.125874,0.16550925,0.24874792,0.41425717,1
408.0,7.0,9.0,106.0,2091.0,194.0,2557.0,589.0,60.0,686.0,0.0,568.0,641.0,234.0,307.0,56.0,106.0,1386.0,2606.0,263.0,705.0,0.0,0.33715925,10.879478,0.18241042,0.11780506,0.21292776,0.33073282,1
125.333336,20.0,11.333334,204.66667,980.0,68.66667,411.6667,200.33334,29.666668,69.0,0.0,77.333336,100.333336,37.666668,50.666668,7.666667,217.66667,2367.6667,524.3334,92.333336,1387.6667,13.0,0.586076,15.379187,0.15211366,0.106350355,0.13781977,0.24417013,1
334.58835,9.882355,6.7941184,240.00006,662.4412,2.235294,1892.7355,16.44118,0.23529415,1208.2942,0.0,291.4119,869.6473,1163.2649,15.676475,576.58844,240.00006,658.29425,30.38236,1049.5001,54.55883,0.0,0.076737404,126.84088,38.32174,0.56542486,0.5730225,1.1384474,0
424.0,15.0,13.0,240.0,11327.0,401.0,4218.0,743.0,134.0,1085.0,0.0,946.0,905.0,304.0,631.0,43.0,240.0,5765.0,4428.0,188.0,5562.0,0.0,0.4910391,8.4976225,0.0681458,0.14250226,0.2287234,0.37122566,0
158.40001,11.2,15.8,208.0,1015.4,79.6,868.2,246.40001,32.2,231.6,0.0,240.40001,241.40001,125.4,136.40001,72.8,193.0,2862.6,951.8,388.80002,1847.2001,15.0,0.64586014,9.083611,0.50302434,0.14160086,0.19919777,0.34079868,1
176.0,29.0,16.0,164.0,2180.0,190.0,821.0,462.0,47.0,91.0,0.0,80.0,85.0,72.0,45.0,6.0,153.0,1404.0,1048.0,72.0,776.0,11.0,0.3559633,32.733334,0.13333334,0.042938933,0.083333336,0.12627226,1
192.0,4.0,17.5,7.5,880.0,321.5,226.0,289.0,59.5,24.0,0.0,13.0,27.0,71.5,8.0,2.0,190.0,633.0,155.0,15.0,247.0,182.5,0.2806809,104.5625,0.25,0.051612902,0.13333334,0.18494624,1
359.42865,30.14286,22.142862,125.964325,1526.2504,104.89289,27.428577,32.35716,222.75008,30.17858,0.0,22.321434,37.50001,231.96432,16.964287,1.7142859,132.92859,1895.6788,215.67862,8.964289,369.42868,6.9642873,0.19504927,8.600461,0.09415164,0.08193675,0.24029312,0.32222983,0
145.6,26.0,28.6,168.2,930.60004,241.6,490.0,230.8,38.600002,57.2,0.0,45.2,59.600002,54.2,46.0,2.4,157.6,1090.6,522.0,26.2,160.0,24.2,0.146995,24.100492,0.0635468,0.08728067,0.10790699,0.19518764,1
336.0,9.0,31.0,240.0,10449.0,473.0,2271.0,1059.0,133.0,171.0,0.0,136.0,138.0,170.0,89.0,2.0,240.0,2062.0,2432.0,70.0,8387.0,0.0,0.8026605,42.730335,0.02247191,0.036595393,0.028571429,0.06516682,1
416.0,30.0,0.0,0.0,0.0,368.5,0.0,0.0,5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
49.333336,19.66667,26.75,240.0,2077.3337,53.75,12.166667,18.666668,18.333334,9.916667,0.0,6.3333335,11.083334,22.500006,4.8333335,1.3333334,240.0,1743.5,72.91667,5.166667,333.83334,0.0,0.16061333,9.868912,0.24006413,0.037869867,0.16666669,0.20453656,1
16.0,8.000002,0.0,0.0,0.0,31.444445,0.0,0.0,1.4444447,0.0,0.0,0.0,0.0,1.4444447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
240.0,12.0,3.0,240.0,747.0,6.0,197.0,27.0,1.0,105.0,0.0,469.0,91.0,86.0,10.0,28.0,240.0,485.0,253.0,1164.0,262.0,0.0,0.3507363,23.0,2.8,0.03952569,0.024054984,0.06358068,0
278.1396,13.1162815,26.837215,240.00005,1169.2096,557.3955,29.511627,95.0698,37.255833,3.0697682,0.0,3.0697682,7.83721,37.255833,0.0,0.0,240.00005,1570.4423,5.418606,0.9999999,401.23264,0.0,0.25563586,0.0,0.0,0.0,0.0,0.0,0
376.0,16.0,3.0,240.0,450.0,47.0,613.0,115.0,11.0,219.0,0.0,296.0,503.0,195.0,70.0,548.0,240.0,613.0,452.0,2204.0,163.0,0.0,0.26590538,11.071428,7.8285713,0.15486726,0.24863884,0.4035061,0
400.0,11.0,9.0,240.0,822.0,113.0,120.0,82.0,29.0,67.0,0.0,38.0,462.0,59.0,28.0,1.0,240.0,830.0,151.0,106.0,8.0,0.0,0.009638554,11.25,0.035714287,0.18543047,0.009433962,0.19486442,1
186.28572,6.571429,1.0,240.85715,271.00003,0.0,208.57144,7.0000005,0.0,143.28572,0.0,161.57146,0.0,120.714294,0.0,0.0,240.85715,262.28574,9.142858,439.00003,8.714286,0.0,0.031594433,0.0,0.0,0.0,0.0,0.0,0
352.0,15.0,9.8,190.8,3659.0,376.2,1207.6,413.0,107.8,475.0,0.0,199.0,360.2,410.4,173.0,29.800001,188.40001,1515.4,1063.6,156.40001,2143.6,2.4,0.5859628,11.824694,0.17528497,0.16302076,0.19214323,0.35516396,0
301.17657,32.70589,25.970594,223.20589,1270.5889,153.17648,351.91187,202.11769,188.64711,162.02943,0.0,142.91179,129.61768,227.00005,80.05885,4.32353,223.26468,953.7942,1561.0298,103.26473,383.85306,3.3529418,0.28783607,8.871492,0.054655645,0.052048642,0.045538735,0.09758738,0
264.0,35.0,14.0,240.0,32386.0,137.0,0.0,0.0,12.0,464.0,0.0,464.0,333.0,12.0,958.0,0.0,240.0,32764.0,2332.0,0.0,378.0,0.0,0.011537053,0.14300627,0.0,0.41080618,0.0,0.41080618,0
